gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,14249.488,5546.5776,6961.766,20733.492,25164.191,23996.723,7747.3916,10874.532,42338.133,46426.004,5930.4727,3648.3362,4019.4365,7630.753,8792.602,5959.8774,3692.5413,4042.9143,7656.6963,8820.341,20.794415,6.931472,6.931472,40.76422,43.162113,12.429424,7.304222,8.573553,15.912675,17.71379,11,5,5,17,20,5.986,5.658,5.746,6.228,6.3
2,11377.982,5022.966,5549.1123,16104.141,16901.63,19664.9,7124.7354,9999.023,43518.832,50155.06,5177.487,3511.031,3649.0007,6416.8125,6625.936,5226.6333,3582.9539,3698.6902,6456.148,6657.1675,22.873857,9.656628,11.266066,39.143948,43.944492,12.717073,7.8804255,9.876446,19.169214,24.760681,11,6,7,17,20,6.028,5.66,5.726,6.528,6.66
3,10566.503,4475.2515,5386.5737,15757.815,16104.139,17051.656,6247.876,9368.694,42335.62,47220.55,4964.6953,3367.4058,3606.379,6325.9966,6416.812,5024.226,3409.407,3645.2537,6348.8765,6440.1626,23.292873,6.931472,9.704061,39.143948,50.65687,13.218111,7.719372,9.876446,19.886135,24.9289,12,5,7,18,22,5.966,5.482,5.594,6.592,6.848
4,9423.818,3439.2388,4228.0806,14346.412,15707.666,18256.22,5633.9824,7922.8755,41604.074,46525.14,4665.0527,3095.7354,3302.5908,5955.8887,6312.846,4733.325,3141.979,3357.1353,6004.6865,6336.8164,23.292873,6.931472,9.656628,43.944492,52.73339,13.218517,8.970524,10.079192,19.98789,22.308567,12,5,6,20,22,5.868,5.114,5.216,6.512,6.624
5,6431.802,2933.494,4083.498,12332.504,15127.499,17182.844,4768.555,6386.73,33302.484,43828.23,3880.4656,2963.1152,3264.6772,5427.788,6160.711,3911.4827,3024.1619,3289.085,5447.9375,6188.77,27.03274,9.656628,11.266066,43.944492,54.667946,14.111326,6.756562,9.215677,22.308567,28.104624,13,6,7,20,22,5.756,4.682,4.818,6.622,6.864
6,5652.4653,2829.5283,3993.368,12332.504,13189.436,19383.363,4989.8345,5915.9,35043.547,38652.26,3676.1025,2935.8528,3241.0427,5427.788,5652.4985,3742.0327,3024.1619,3273.1575,5447.9375,5683.1543,25.328436,9.656628,11.266066,47.957905,55.151592,13.796402,6.1467314,9.251087,28.104624,30.45856,13,6,7,21,24,5.784,4.378,4.66,7.012,7.284
7,4855.0522,2829.5283,3788.3315,11291.881,12332.514,21437.816,4989.8345,7846.2935,35354.64,43828.23,3466.9995,2935.8528,3187.2769,5154.909,5427.791,3497.18,3011.74,3250.638,5191.442,5452.276,27.03274,11.266066,12.542316,48.354286,52.959457,13.233467,6.1467314,8.968679,24.929253,30.330513,13,7,7,22,23,6.094,4.344,4.776,7.884,8.554
8,4454.7295,2364.0688,2933.494,9951.287,11275.818,21950.943,4382.02,6517.0645,30774.402,36000.234,3362.0242,2813.7969,2963.1152,4803.369,5150.697,3396.4133,2892.6597,3015.0022,4852.5054,5191.3667,28.56392,11.266066,12.542316,51.98604,71.93686,13.560839,7.1771345,8.886198,29.194565,34.95984,13,7,7,23,30,6.65,4.922,5.1,9.23,9.974
9,4140.5195,2249.1028,2657.4631,8781.535,10819.276,21268.135,4382.02,6517.1724,30912.684,38853.523,3279.63,2783.6497,2890.7327,4496.629,5030.9795,3327.2307,2866.8147,2969.812,4553.089,5082.029,29.188652,12.542316,16.125835,64.74317,74.334755,14.537623,7.104756,8.886198,26.121456,32.87482,14,7,9,25,31,7.694,5.318,5.652,10.254,11.764
10,4053.191,2240.7566,2627.0156,6372.5522,9794.665,20754.842,4989.6763,6517.1724,30539.17,44747.812,3256.73,2781.461,2882.7485,3864.9287,4762.299,3299.2085,2866.8147,2933.772,3898.255,4839.5757,31.191624,12.542316,16.125835,59.867214,69.577385,15.054296,8.779464,10.176466,26.753527,33.913338,15,7,9,25,28,8.61,6.096,6.298,11.59,13.436
