seeded,season,NC,SC,NWC,target
0,0,1.649999976158142,1.7999999523162842,3.3299999237060547,1.690000057220459
1,0,1.0900000333786009,0.7900000214576721,1.5900000333786009,0.7400000095367432
0,1,2.390000104904175,0.3600000143051147,2.059999942779541,0.8100000023841858
1,1,2.9600000381469727,1.2699999809265137,4.050000190734863,1.440000057220459
0,1,4.1599998474121085,2.1600000858306885,6.0,2.4800000190734863
1,1,2.759999990463257,0.8700000047683716,4.170000076293944,0.8399999737739563
1,1,1.0800000429153442,0.8500000238418579,3.4500000476837163,0.3700000047683716
0,1,0.2599999904632568,0.4699999988079071,0.8999999761581421,0.3700000047683716
1,2,2.5299999713897705,1.0800000429153442,3.650000095367432,1.3300000429153442
0,2,2.759999990463257,3.0999999046325684,5.059999942779541,3.380000114440918
0,2,1.0700000524520874,0.6399999856948853,1.950000047683716,0.6899999976158142
1,2,1.4199999570846558,1.0800000429153442,1.2200000286102295,1.4199999570846558
0,2,0.239999994635582,0.4399999976158142,0.9399999976158142,0.4399999976158142
1,2,0.699999988079071,0.6700000166893005,0.9399999976158142,0.7599999904632568
0,3,0.9700000286102296,1.6599999666213991,2.2100000381469727,1.1299999952316284
1,3,1.0599999427795408,1.1299999952316284,1.4600000381469729,0.8799999952316284
0,3,0.1299999952316284,0.2700000107288361,0.3499999940395355,0.1700000017881393
1,3,0.1000000014901161,0.3000000119209289,0.3400000035762787,0.25
1,3,0.3799999952316284,0.5799999833106995,0.6700000166893005,0.7799999713897705
0,3,0.449999988079071,0.4300000071525574,0.4399999976158142,0.4000000059604645
0,0,0.4199999868869781,0.4699999988079071,0.5299999713897705,0.5199999809265137
1,0,2.240000009536743,4.019999980926514,2.5199999809265137,2.7300000190734863
1,0,0.5199999809265137,1.3200000524520874,2.1800000667572017,0.8999999761581421
0,0,0.9399999976158142,1.5900000333786009,1.7300000190734863,1.6200000047683716
1,0,1.190000057220459,0.8500000238418579,2.309999942779541,0.9300000071525574
0,0,0.7599999904632568,0.7099999785423279,1.2799999713897705,0.6299999952316284
0,1,0.1299999952316284,0.5899999737739563,0.9100000262260436,0.4199999868869781
1,1,1.5,0.239999994635582,1.149999976158142,0.6399999856948853
1,1,1.0299999713897705,0.2199999988079071,1.8799999952316284,0.3000000119209289
0,1,1.870000004768372,0.5799999833106995,2.970000028610229,0.8799999952316284
1,1,1.850000023841858,1.3600000143051147,2.1700000762939453,0.7599999904632568
0,1,2.039999961853028,0.7099999785423279,2.220000028610229,1.25
1,1,1.440000057220459,1.0,1.6399999856948853,1.0800000429153442
0,1,1.4600000381469729,1.4800000190734863,0.4000000059604645,1.1100000143051147
0,2,5.079999923706055,1.7699999809265137,4.199999809265137,3.4300000667572017
1,2,0.6600000262260437,0.7300000190734863,0.9100000262260436,0.5400000214576721
