ozone,radiation,temperature,target
41.0,190.0,67.0,7.400000095367432
36.0,118.0,72.0,8.0
12.0,149.0,74.0,12.600000381469728
18.0,313.0,62.0,11.5
23.0,299.0,65.0,8.600000381469727
19.0,99.0,59.0,13.800000190734863
8.0,19.0,61.0,20.100000381469727
16.0,256.0,69.0,9.699999809265137
11.0,290.0,66.0,9.199999809265137
14.0,274.0,68.0,10.899999618530272
18.0,65.0,58.0,13.199999809265137
14.0,334.0,64.0,11.5
34.0,307.0,66.0,12.0
6.0,78.0,57.0,18.39999961853028
30.0,322.0,68.0,11.5
11.0,44.0,62.0,9.699999809265137
1.0,8.0,59.0,9.699999809265137
11.0,320.0,73.0,16.600000381469727
4.0,25.0,61.0,9.699999809265137
32.0,92.0,61.0,12.0
23.0,13.0,67.0,12.0
45.0,252.0,81.0,14.899999618530272
115.0,223.0,79.0,5.699999809265137
37.0,279.0,76.0,7.400000095367432
29.0,127.0,82.0,9.699999809265137
71.0,291.0,90.0,13.800000190734863
39.0,323.0,87.0,11.5
23.0,148.0,82.0,8.0
21.0,191.0,77.0,14.899999618530272
37.0,284.0,72.0,20.700000762939453
20.0,37.0,65.0,9.199999809265137
12.0,120.0,73.0,11.5
13.0,137.0,76.0,10.300000190734863
135.0,269.0,84.0,4.0
49.0,248.0,85.0,9.199999809265137
32.0,236.0,81.0,9.199999809265137
64.0,175.0,83.0,4.599999904632568
