run,algorithm,dataset,r2_test,mse_test,hypervolume,size,size_mse
0,symregg,1028,0.3946881447295244,0.4197536313149039,16.23962139157461,37,37
1,symregg,1028,0.4160004900370645,0.3750169322645565,16.682433395237876,46,46
2,symregg,1028,0.3731818443551845,0.3987275479341857,18.603717408327313,23,23
3,symregg,1028,0.3809465473633445,0.3975269204084,15.40773453232199,48,48
4,symregg,1028,0.3738282080152906,0.4342189587466394,15.698687609752719,46,46
5,symregg,1028,0.3992696742430792,0.3857606728093765,16.689267783733218,34,34
6,symregg,1028,0.369001410830456,0.4013867785158241,18.864568054371414,34,34
7,symregg,1028,0.4070603595977717,0.3807578622382843,16.28126765071575,31,31
8,symregg,1028,0.3695696973937941,0.4048325967002957,16.258584568103128,49,49
9,symregg,1028,0.3587213373744239,0.4079260729583892,16.125984928280644,26,26
10,symregg,1028,0.4030756645776111,0.4139373039403358,19.92734164424956,34,34
11,symregg,1028,0.3346806935197409,0.4232186532523914,16.631877233864614,36,36
12,symregg,1028,0.3745468552993454,0.3978592459206477,18.824100596366037,48,48
13,symregg,1028,0.3736502093184572,0.4022122844603878,16.776714377971956,32,32
14,symregg,1028,0.3486395166174151,0.4182729713112237,16.940278123966657,22,22
15,symregg,1028,0.3885560459710968,0.3889478093344759,16.66925253595311,49,49
16,symregg,1028,0.3501597904455333,0.4133721893204276,17.916858538221355,26,26
17,symregg,1028,0.3992187890947896,0.4166118550421318,16.681972088790655,46,46
18,symregg,1028,0.4054514436842803,0.412289819427116,17.145255020937526,34,34
19,symregg,1028,0.3820425675758139,0.3968231079380671,18.314843384663067,47,47
20,symregg,1028,0.4446437721213618,0.3566235678969678,16.716400984903856,43,43
21,symregg,1028,0.3447300896636961,0.4543970549398074,14.894844335366235,20,20
22,symregg,1028,0.4134856000498823,0.3766318759620876,15.791059260802648,42,42
23,symregg,1028,0.3633875067815664,0.4049578591802775,18.11252762227378,33,33
24,symregg,1028,0.4006493659282755,0.4156198212408734,16.628080713366884,32,32
25,symregg,1028,0.3609209250259817,0.4065268853584867,16.162503430500024,40,40
26,symregg,1028,0.3668822791007423,0.4390356145899882,17.117242441269788,49,49
27,symregg,1028,0.3999570189102767,0.4160999294237954,15.419106623102962,44,44
28,symregg,1028,0.3868633818064875,0.3900245360146986,16.984816349487573,36,36
29,symregg,1028,0.4080843716095661,0.410464015012406,17.48030936862864,27,27
0,eggp_mo,1028,0.3391575996365132,0.4582612993024605,14.958846917449877,15,15
1,eggp_mo,1028,0.3984399298038223,0.3862934955410144,14.546426554743626,36,36
2,eggp_mo,1028,0.3628229318730583,0.4053169929527558,17.073128347014446,29,29
3,eggp_mo,1028,0.4111445162161706,0.3781352095480155,17.16680513261015,33,33
4,eggp_mo,1028,0.3713966449484579,0.4359051266585799,18.195679814949912,27,27
5,eggp_mo,1028,0.3993815516827312,0.3856888303959974,0.0,28,28
6,eggp_mo,1028,0.3752970451652843,0.3973820399510421,18.251141784546874,34,34
7,eggp_mo,1028,0.4021619680977982,0.3839033781539868,16.65868431014689,35,35
8,eggp_mo,1028,0.3765843165909135,0.4003281392008797,15.101388927304695,40,40
9,eggp_mo,1028,0.3701120108152702,0.4006803107712433,18.07498236081934,41,41
10,eggp_mo,1028,0.4084141599644747,0.4102353232094404,15.83813434300544,36,36
11,eggp_mo,1028,0.3781341253869517,0.3955773346630877,17.798859120155708,19,19
12,eggp_mo,1028,0.3295613945441402,0.4264751089075143,18.37398561008514,43,43
13,eggp_mo,1028,0.40107495211092,0.3846014085354634,18.16222836559502,31,31
14,eggp_mo,1028,0.3955612072261704,0.388142075362563,18.592366599697094,31,31
15,eggp_mo,1028,0.3789830125559348,0.3950373459976138,11.25863844056075,27,27
16,eggp_mo,1028,0.3708340666971544,0.4002210012112657,9.237402085228876,32,32
17,eggp_mo,1028,0.4065558758687242,0.411523950700236,15.934272218373835,34,34
18,eggp_mo,1028,0.4056533349892969,0.4121498178598681,3.155253835984695e-13,36,36
19,eggp_mo,1028,0.3667281173071702,0.4066573253664847,14.203647994048016,37,37
20,eggp_mo,1028,0.3933696396560143,0.3895493966581965,15.9317248166662,35,35
21,eggp_mo,1028,0.4233088760740998,0.3999065792405551,18.07273083173102,24,24
22,eggp_mo,1028,0.4043258576580288,0.3825138303704818,12.856546608312815,34,34
23,eggp_mo,1028,0.3628707413905458,0.4052865806688995,17.29940610758682,25,25
24,eggp_mo,1028,0.4069107841908376,0.4112778394508134,16.768608118690462,28,28
25,eggp_mo,1028,0.3753784296474436,0.3973302701758385,14.830791137702516,42,42
26,eggp_mo,1028,0.3442964324090518,0.4546977746527917,16.463286002131387,29,29
27,eggp_mo,1028,0.3892693697993856,0.4235112819116984,18.406623874940195,36,36
28,eggp_mo,1028,0.3894092830292892,0.3884050536453564,18.40128179752631,36,36
29,eggp_mo,1028,0.4164337797707491,0.4046741161950091,16.269511516349265,27,27
0,PySIPS,1028,0.4138269201873761,0.376412696273236,15.298762584183223,34,34
1,PySIPS,1028,0.4008739654234525,0.3847304727036246,16.188468983221682,16,16
2,PySIPS,1028,0.4089639593453751,0.3795354602920031,12.171258265488394,36,36
3,PySIPS,1028,0.3561324204533457,0.409572918198035,15.118668384120852,21,21
4,PySIPS,1028,0.3997744328845211,0.4162265437411453,17.10595722694788,26,26
5,PySIPS,1028,0.3458387641801332,0.4161208528552134,14.790252283228423,42,42
6,PySIPS,1028,0.3901486256692527,0.3916177798734035,16.64355183224101,27,27
7,PySIPS,1028,0.4131343660185943,0.376857421885797,16.685978661156163,28,28
8,PySIPS,1028,0.361718448093155,0.4060195700962677,15.164829100863567,27,27
9,PySIPS,1028,0.3965020903385229,0.418495750356924,16.055631543301324,20,20
10,PySIPS,1028,0.371335740263541,0.3999018798374081,17.14059018642488,24,24
11,PySIPS,1028,0.3624959459229501,0.4420773182399412,16.073662140176005,27,27
12,PySIPS,1028,0.3879721693991618,0.4244108257977081,14.969980206399619,28,28
13,PySIPS,1028,0.4153616050397246,0.405417615984142,14.573015275886284,22,22
14,PySIPS,1028,0.3332013436593831,0.4241596878045111,14.07512803526052,26,26
15,PySIPS,1028,0.3543726063720304,0.4106923598529134,16.680463007099757,24,24
16,PySIPS,1028,0.3849412988416093,0.3949616794810003,15.806090296179542,30,30
17,PySIPS,1028,0.3802039141738291,0.3980038044053531,17.36191779076495,29,29
18,PySIPS,1028,0.3718818943445672,0.4355686303644199,15.889871702489891,21,21
19,PySIPS,1028,0.4134759267282444,0.376638087712857,15.393870647872836,30,30
20,PySIPS,1028,0.3958933962162922,0.387928759265747,16.005825175268917,20,20
21,PySIPS,1028,0.3581929861866706,0.4082621643297768,15.210730969619547,22,22
22,PySIPS,1028,0.3980213600059656,0.4174422124916021,15.006646124466268,22,22
23,PySIPS,1028,0.3852607776158616,0.4262910409909974,17.70847843412859,21,21
24,PySIPS,1028,0.4008305319955605,0.3847583636018324,14.836709064621832,24,24
